,matter,q0,q1,q2,q3,q4,q5,q6,q7,q8,citations
10,[3370.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:constituicao:1988-10-05;1988!art5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art65_inc1', 'urn:lex:br:federal:lei:2002-01-10;10406!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2']"
11,"[3372.0, 5555.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3']"
12,[4355.0],0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art310_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_inc2_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']"
13,"[3372.0, 3458.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art211_inc5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art472', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art424', 'urn:lex:br:federal:lei:2002-01-10;10406!art211', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']"
14,[5555.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art70', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61_inc1']"
15,[3632.0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['lei+9503+1997!art306_caput', 'urn:lex:br:federal:lei:1997-09-23;9503!art306', 'urn:lex:br:federal:lei:2002-01-10;10406!art6']"
16,[4355.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['lei+11343+2006!art44', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'lei+11343+2006!art33', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+11343+2006!art35']"
17,[3426.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art44_inc1', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art163_inc3_par1', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art163_inc3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art163_caput']"
18,[4355.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art69', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_par4', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180_inc4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_inc4_par4']"
19,[3372.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art200', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:lei:2002-01-10;10406!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art65_inc3']"
20,"[3372.0, 1209.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art621', 'lei+10826+2003!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art63', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_inc4_par2']"
21,"[4355.0, 5566.0, 3633.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_inc2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319_inc3', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art310', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art301']"
22,"[3372.0, 5865.0, 3385.0, 5555.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art413', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art129_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art163', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2', 'lei+10826+2003!']"
23,"[4355.0, 3419.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art66', 'lei+12736+2012!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art33_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art77', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art387_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art33_par3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art59', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art44']"
24,[3632.0],0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"['lei+9503+1997!art306_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art69', 'lei+9503+1997!art302_par1', 'urn:lex:br:federal:lei:1997-09-23;9503!art303_caput', 'urn:lex:br:federal:lei:1997-09-23;9503!art302_par1', 'urn:lex:br:federal:lei:1997-09-23;9503!art306', 'lei+9503+1997!art303_caput', 'urn:lex:br:federal:lei:1997-09-23;9503!art306_caput']"
25,[4355.0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art171', 'lei+12850+2013!art2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180']"
26,"[10949.0, 3402.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
27,[4355.0],0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:lei:1973-01-11;5869!art319', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319']"
28,[7928.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
29,"[4355.0, 3416.0]",0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art302', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_par6', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art304', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art129_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:lei:1990-07-13;8069!art244', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_par4', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art302', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+12403+2011!', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art301', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art306', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art129_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_inc4_par4']"
30,[7928.0],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319']"
31,[10949.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc3', 'lei+11340+2006!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_inc1', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art129_par9', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_inc2']"
32,"[4355.0, 3435.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319']"
33,"[3416.0, 3546.0, 3435.0]",0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art311', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_par4', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_par1', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_par4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art311_inc4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art311_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art310', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art580', 'lei+12403+2011!', 'lei+8069+1990!art244', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art311']"
34,"[3620.0, 3660.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['lei+9605+1998!', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art109_inc4', 'urn:lex:br:federal:lei:2002-01-10;10406!', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art23_inc7', 'lei+9605+1998!art34', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art23_inc6', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art46', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art581']"
35,[4355.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art302', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc3', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art22', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'lei+11340+2006!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art150', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art359', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']"
36,[3370.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art29_par1', 'urn:lex:br:federal:lei:2002-01-10;10406!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_caput']"
37,"[3521.0, 3416.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_inc2', 'lei+12850+2013!', 'lei+12850+2013!art2_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art2_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_par5', 'lei+12850+2013!art5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art2', 'lei+12850+2013!art155_par5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art311']"
38,"[4355.0, 3608.0]",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_par6', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+11343+2006!art33_caput', 'lei+11343+2006!art40_inc5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art28']"
39,"[3369.0, 5555.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_inc4', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art14_inc4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art33_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art387_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art474_par3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art59', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art474']"
40,[4355.0],0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319']"
41,[3633.0],0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'lei+10826+2003!art16_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319']"
42,"[4355.0, 7928.0, 10902.0]",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art659', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art384_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art66_inc21', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art6_inc21']"
43,[7942.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
44,"[4355.0, 3419.0, 3633.0, 3416.0, 3608.0, 3546.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art311_caput_par1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art311', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art12', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art288', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180', 'lei+10826+2003!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art311']"
45,"[7928.0, 10949.0, 3402.0]",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art140', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art140_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_caput', 'lei+11340+2006!art41', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc3', 'lei+9099+1995!art98', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+12403+2011!', 'lei+11340+2006!art7', 'lei+9099+1995!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput', 'urn:lex:br:federal:constituicao:1988-10-05;1988!art226', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art129_par9', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art129', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5_caput']"
46,[4355.0],0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art310_inc2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_inc2_par2', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']"
