name,CAT,NOTA,TE,TG,TR,UP,USE,name_stemmed
ABSOLVIÇÃO SUMÁRIA,['DPP DIREITO PROCESSUAL PENAL'],,,ABSOLVIÇÃO,"['CULPABILIDADE', 'DECISÃO DEFINITIVA', 'DESCLASSIFICAÇÃO DO CRIME', 'EXCLUDENTE DE ILICITUDE']",,,absolv sumar
ABUSO DE AUTORIDADE,"['DAD DIREITO ADMINISTRATIVO', 'DPE DIREITO PENAL']","

NOTA
Art. 1º. O direito de representação e o processo de responsabilidade 
administrativa civil e penal, contra as autoridades que, no exercício de 
suas funções, cometerem abusos, são regulados pela presente lei.
(Lei 4.898/1965 - Regula o Direito de Representação e o processo de 
Responsabilidade Administrativa Civil e Penal, nos casos de abuso de 
autoridade)
",,,['ABUSO DE PODER'],,,abus de autoridad
ABUSO DE CONFIANÇA,"['DMI DIREITO MILITAR', 'DPE DIREITO PENAL']","

NOTA
Art. 155. Subtrair, para si ou para outrem, coisa alheia móvel: (...)
§ 4º - A pena é de reclusão de dois a oito anos, e multa, se o crime é 
cometido: (...)
II - com abuso de confiança, ou mediante fraude, escalada ou destreza; (...)
(Decreto-lei 2.848/1940 - Código Penal
",,,"['APROPRIAÇÃO INDÉBITA', 'FURTO ATENUADO', 'FURTO QUALIFICADO']",,,abus de confianc
ABUSO DE PODER,['DPE DIREITO PENAL'],,ABUSO DE PODER POLÍTICO,CRIME CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,"['ABUSO DE AUTORIDADE', 'ATO ARBITRÁRIO', 'ATO LESIVO', 'CERCEAMENTO DE DEFESA', 'CIRCUNSTÂNCIA AGRAVANTE', 'COAÇÃO ILEGAL', 'CONSTRANGIMENTO ILEGAL', 'DESVIO DE PODER', 'FLAGRANTE ILEGALIDADE', 'MANDADO DE SEGURANÇA', 'PODER DISCRICIONÁRIO', 'PREVALECIMENTO ABUSIVO DA CONDIÇÃO DE FUNCIONÁRIO POLICIAL', 'REPRESENTAÇÃO ADMINISTRATIVA', 'VIOLÊNCIA ARBITRÁRIA']",,,abus de pod
ABUSO DE PODER ECONÔMICO,"['DEL DIREITO ELEITORAL', 'DPE DIREITO PENAL']",,COMPRA DE VOTO,CRIME CONTRA A ORDEM ECONÔMICA,"['AUMENTO ARBITRÁRIO DOS LUCROS', 'CAMPANHA ELEITORAL']",ABUSO DO PODER ECONÔMICO,,abus de pod econom
ABUSO DE PODER POLÍTICO,['DEL DIREITO ELEITORAL'],"

NOTA
Valer-se do poder proporcionado por determinada posição para influenciar o eleitor, em detrimento da liberdade de voto.
",,ABUSO DE PODER,['ELEIÇÃO'],,,abus de pod polit
ABUSO SEXUAL,"['DPE DIREITO PENAL', 'ECA ESTATUTO DA CRIANÇA E DO ADOLESCENTE']",,,,"['CRIME SEXUAL CONTRA VULNERÁVEL', 'ESTUPRO', 'ESTUPRO DE VULNERÁVEL', 'EXPLORAÇÃO SEXUAL', 'PEDOFILIA', 'SEDUÇÃO E CORRUPÇÃO DE MENORES']",,,abus sex
AÇÃO PENAL,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,AÇÃO PENAL ORIGINÁRIA,AÇÃO JUDICIAL,"['AJUIZAMENTO', 'CONTRAVENÇÃO PENAL', 'INDIVISIBILIDADE DA AÇÃO', 'JUÍZO CRIMINAL', 'LEGISLAÇÃO PENAL', 'MAUS ANTECEDENTES', 'MEDIDA PREPARATÓRIA', 'PENA', 'PEREMPÇÃO', 'PROCEDIMENTO CRIMINAL', 'QUEIXA', 'REPRESENTAÇÃO CRIMINAL', 'TRANCAMENTO DA AÇÃO PENAL']",AÇÃO CRIMINAL,,aca penal
AÇÃO PENAL ORIGINÁRIA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,AÇÃO PENAL,,,,aca penal originar
AÇÃO PENAL PRIVADA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,AÇÃO PENAL,"['AÇÃO PENAL PÚBLICA', 'QUEIXA']",,,aca penal priv
AÇÃO PENAL PÚBLICA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,AÇÃO PENAL PÚBLICA CONDICIONADA,AÇÃO PENAL,"['AÇÃO PENAL PRIVADA', 'MINISTÉRIO PÚBLICO', 'PRINCÍPIO DA INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA']",,,aca penal public
AÇÃO PENAL PÚBLICA CONDICIONADA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,AÇÃO PENAL PÚBLICA,"['AÇÃO PENAL PÚBLICA INCONDICIONADA', 'ESTUPRO QUALIFICADO']",,,aca penal public condicion
AÇÃO PENAL PÚBLICA INCONDICIONADA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,AÇÃO PENAL PÚBLICA,['AÇÃO PENAL PÚBLICA CONDICIONADA'],,,aca penal public incondicion
ACUSAÇÃO PENAL,"['DMI DIREITO MILITAR', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['ACUSADO', 'APENADO', 'DEFENSOR', 'DEFESA', 'DENÚNCIA', 'INDICIADO', 'PRINCÍPIO DA CORRELAÇÃO', 'PROMOTOR DE JUSTIÇA', 'RECURSO DE ACUSAÇÃO', 'RÉU', 'SISTEMA ACUSATÓRIO', 'SISTEMA INQUISITIVO', 'TRIBUNAL DO JÚRI']",,,acus penal
AGRAVAÇÃO PENAL,['DPE DIREITO PENAL'],,,,,,AGRAVAMENTO DA PENA,agrav penal
CAPITULAÇÃO PENAL,['DPE DIREITO PENAL'],,,,['INQUÉRITO POLICIAL'],,,capitul penal
IMPUTAÇÃO PENAL,['DPE DIREITO PENAL'],,,,,,IMPUTAÇÃO DE CRIME,imput penal
INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,PRINCÍPIO DA INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA,indisponibil da aca penal public
INFRAÇÃO PENAL,['DPE DIREITO PENAL'],,,,,,DELITO,infr penal
INFRAÇÃO PENAL DE MENOR POTENCIAL OFENSIVO,['DPE DIREITO PENAL'],"

NOTA
Termo genérico distinto de ""crime de menor potencial ofensivo"". Ver art. 61 da Lei 9.099/1995: "" Consideram-se infrações penais de menor potencial ofensivo, para os efeitos desta Lei, as contravenções penais e os crimes a que a lei comine pena máxima não superior a 2 (dois) anos, cumulada ou não com multa. (Redação dada pela Lei nº 11.313, de 2006)""
",CONTRAVENÇÃO PENAL,CAUSA DE MENOR COMPLEXIDADE,"['JUIZADO ESPECIAL CRIMINAL', 'JUIZADO ESPECIAL FEDERAL CRIMINAL', 'PRINCÍPIO DA INSIGNIFICÂNCIA', 'TERMO CIRCUNSTANCIADO']",,,infr penal de men potenc ofens
LEGISLAÇÃO PENAL,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']",,,LEGISLAÇÃO,"['AÇÃO PENAL', 'CÓDIGO PENAL', 'DIREITO PENAL', 'LEI PENAL']",,,legisl penal
LEGISLAÇÃO PENAL MILITAR,"['DCT DIREITO CONSTITUCIONAL', 'DMI DIREITO MILITAR']",,,LEGISLAÇÃO,['CÓDIGO PENAL MILITAR'],,,legisl penal milit
POSTULADO DA INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,PRINCÍPIO DA INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA,postul da indisponibil da aca penal public
PRINCÍPIO DA INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['AÇÃO PENAL PÚBLICA', 'MINISTÉRIO PÚBLICO']",INDISPONIBILIDADE DA AÇÃO PENAL PÚBLICA,,principi da indisponibil da aca penal public
REABILITAÇÃO PENAL,['DPP DIREITO PROCESSUAL PENAL'],,,,"['CONDENADO', 'PRESO']",,,reabilit penal
TRANCAMENTO DA AÇÃO PENAL,['DPP DIREITO PROCESSUAL PENAL'],,,,"['AÇÃO PENAL', 'AUTORIA DO CRIME', 'CONSTRANGIMENTO ILEGAL', 'CRIME INSTANTÂNEO', 'EXTINÇÃO DA PUNIBILIDADE', 'FATO ATÍPICO', 'JUSTA CAUSA', 'MATERIALIDADE DO FATO', 'PRESCRIÇÃO DA PRETENSÃO PUNITIVA', 'PROCEDIMENTO CRIMINAL']",,,tranc da aca penal
TRANSAÇÃO PENAL,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['CRIME DE MENOR POTENCIAL OFENSIVO', 'SENTENÇA PENAL CONDENATÓRIA IMPRÓPRIA']",,,trans penal
ACIDENTADO,"['DPE DIREITO PENAL', 'DPR DIREITO PREVIDENCIÁRIO', 'DTB DIREITO TRABALHISTA']",,,,"['ACIDENTE', 'ACIDENTE DE TRÂNSITO', 'ACIDENTE DO TRABALHO', 'AUXÍLIO-ACIDENTE', 'CAPACIDADE LABORATIVA', 'INCAPACIDADE LABORATIVA']",,,acident
ACIMA DO MÍNIMO LEGAL,['DPE DIREITO PENAL'],,,,['MÍNIMO LEGAL'],,,acim do min legal
ACUSADO,"['DMI DIREITO MILITAR', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['ACUSAÇÃO PENAL', 'APRESENTAÇÃO ESPONTÂNEA', 'CULPADO', 'DIREITO PENAL DO AUTOR', 'DIREITO PENAL DO INIMIGO', 'QUERELADO', 'RÉU']",,,acus
ACUSADOR AD HOC,['DCT DIREITO CONSTITUCIONAL'],,,,,,ACUSADOR DE EXCEÇÃO,acus ad hoc
ACUSADOR DE EXCEÇÃO,['DCT DIREITO CONSTITUCIONAL'],,,,"['MINISTÉRIO PÚBLICO', 'PRINCÍPIO DO PROMOTOR NATURAL']",ACUSADOR AD HOC,,acus de excec
COMISSÃO ACUSADORA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
1. Comissão composta por um quarto da composição do Senado Federal instituída para aprecisar crime de responsabilidade e oferecer libelo acusatório. 2. Ver artigos 380 e ss do Regimento Interno do Senado Federal.
",,,"['COMISSÃO ESPECIAL', 'SENADO FEDERAL']",,,comiss acus
QUALIFICAÇÃO DO ACUSADO,['DPP DIREITO PROCESSUAL PENAL'],"

NOTA
Artigo 41 do Código de Processo Penal (Decreto-lei 3689/1941): ""A denúncia ou queixa conterá a exposição do fato criminoso, com todas as suas circunstâncias, a qualificação do acusado ou esclarecimentos pelos quais se possa identificá-lo, a classificação do crime e, quando necessário, o rol das testemunhas.""
",,,"['DENÚNCIA', 'IDENTIFICAÇÃO CRIMINAL', 'QUEIXA']",,,qualific do acus
ADULTERAÇÃO DE COMBUSTÍVEL,['DPE DIREITO PENAL'],"

NOTA
Definido como crime contra a ordem econômica pelo artigo 1º, inciso I, da Lei 8.176/1991: ""Constitui crime contra a ordem econômica adquirir, distribuir e revender derivados de petróleo, gás natural e suas frações recuperáveis, álcool etílico, hidratado carburante e demais combustíveis líquidos carburantes, em desacordo com as normas estabelecidas na forma da lei""
",,CRIME CONTRA A ORDEM ECONÔMICA,"['ÁLCOOL CARBURANTE', 'COMBUSTÍVEL', 'GÁS NATURAL', 'PETRÓLEO']",,,adulter de combust
ADULTERAÇÃO DE MEDIDOR,['DPE DIREITO PENAL'],,,,"['ENERGIA ELÉTRICA', 'FRAUDE', 'FURTO']",,,adulter de medi
ADULTERAÇÃO DE SINAL IDENTIFICADOR DE VEÍCULO AUTOMOTOR,['DPE DIREITO PENAL'],"

NOTA
Tipo penal previsto no art. 311 do Código Penal.
",,CRIME CONTRA A FÉ PÚBLICA,"['CHASSI', 'VEÍCULO AUTOMOTOR', 'VEÍCULO CLONADO']",,,adulter de sinal identific de veicul automo
ADULTÉRIO,['DPE DIREITO PENAL'],"

NOTA
Previsto no art. 240 do Decreto-Lei 2848 de 1940 - Código Penal,
e revogado pelo art. 5º da Lei 11.106 de 2005
",,CRIME CONTRA O CASAMENTO,"['CASAMENTO', 'CÔNJUGE', 'ESPOSA']",,,adulteri
ADULTO,['DPE DIREITO PENAL'],,,,"['CRIANÇA', 'MENORIDADE']",,,adult
ADVOCACIA ADMINISTRATIVA,['DPE DIREITO PENAL'],,,CRIME PRATICADO POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,"['FUNCIONÁRIO PÚBLICO', 'SERVIDOR PÚBLICO']",,,advocac administr
AERONAVE,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,AERONAVE MILITAR,,"['ACIDENTE AÉREO', 'CONTRATO DE ARRENDAMENTO MERCANTIL', 'EMPRESA AÉREA', 'ESPAÇO AÉREO', 'PRINCÍPIO DA TERRITORIALIDADE', 'TRANSPORTE AEROVIÁRIO']",AVIÃO,,aeronav
AERONAVE MILITAR,['DMI DIREITO MILITAR'],,,AERONAVE,['AEROPORTO MILITAR'],,,aeronav milit
AEROPORTO NACIONAL,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']",,,AEROPORTO,,,,aeroport nacion
AGENTE,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']","

NOTA
Ver outros termos compostos iniciados pelo termo agente. Usar somente para denotar alguém que pratica uma conduta.
",AGENTE ADMINISTRATIVO,,,,,agent
AGENTE ADMINISTRATIVO,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE,['OFICIAL ADMINISTRATIVO'],,,agent administr
AGENTE COMUNITÁRIO DE SAÚDE,['NOC NOMES COMUNS'],,,AGENTE,['ENFERMEIRO'],,,agent comunit de saud
AGENTE DE POLÍCIA,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE PÚBLICO,"['ATIVIDADE POLICIAL', 'CHEFE DE POLÍCIA CIVIL', 'POLÍCIA CIVIL', 'POLÍCIA FEDERAL', 'POLÍCIA MILITAR', 'POLÍCIA RODOVIÁRIA']",,,agent de polici
AGENTE DE SEGURANÇA,"['DAD DIREITO ADMINISTRATIVO', 'DTB DIREITO TRABALHISTA']",,,,['AGENTE DE SEGURANÇA JUDICIÁRIA'],,,agent de seguranc
AGENTE DE SEGURANÇA JUDICIÁRIA,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE,['AGENTE DE SEGURANÇA'],,,agent de seguranc judiciar
AGENTE DE TRÂNSITO,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Art. 89. A sinalização terá a seguinte ordem de prevalência: I - as ordens do agente de trânsito sobre as normas de circulação e outros sinais; (CTB)
",,AGENTE,['SEGURANÇA VIÁRIA'],,,agent de transit
AGENTE DIPLOMÁTICO,"['DAD DIREITO ADMINISTRATIVO', 'DIN DIREITO INTERNACIONAL']",,,AGENTE,"['CONSULADO', 'CORPO DIPLOMÁTICO', 'DIPLOMATA', 'ESTADO ESTRANGEIRO', 'IMUNIDADE DIPLOMÁTICA', 'MISSÃO DIPLOMÁTICA', 'NOTA DIPLOMÁTICA']",,,agent diploma
AGENTE FINANCEIRO,"['DEC DIREITO ECONÔMICO', 'DEM DIREITO EMPRESARIAL']",,,AGENTE,"['BANCO', 'FINANCIAMENTO']",,,agent financ
AGENTE FISCAL,['DTR DIREITO TRIBUTÁRIO'],,AGENTE FISCAL DE IMPOSTO ADUANEIRO,AGENTE,"['CRIME DE SONEGAÇÃO FISCAL', 'FISCALIZAÇÃO TRIBUTÁRIA']",FISCAL,,agent fiscal
AGENTE FISCAL ADUANEIRO,['DAD DIREITO ADMINISTRATIVO'],,,,,,AGENTE FISCAL DE IMPOSTO ADUANEIRO,agent fiscal aduan
AGENTE FISCAL DE IMPOSTO ADUANEIRO,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE FISCAL,,AGENTE FISCAL ADUANEIRO,,agent fiscal de impost aduan
AGENTE FISCAL DE IMPOSTO DE CONSUMO,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE FISCAL,,,,agent fiscal de impost de consum
AGENTE FISCAL DE RENDAS,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE FISCAL,,,,agent fiscal de rend
AGENTE FISCAL DE TRIBUTO ESTADUAL,['DAD DIREITO ADMINISTRATIVO'],,,,['GRATIFICAÇÃO DE ESTÍMULO À PRODUÇÃO INDIVIDUAL (GEPI)'],,,agent fiscal de tribut estad
AGENTE FISCAL DE TRIBUTOS,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE FISCAL,,,,agent fiscal de tribut
AGENTE FISCAL DO IMPOSTO DE RENDA,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE FISCAL,,,,agent fiscal do impost de rend
AGENTE GARANTIDOR,['DPE DIREITO PENAL'],"

NOTA
Aquele que, pela ordem normativa, está obrigado a evitar um resultado danoso.
",,AGENTE,['CRIME OMISSIVO'],GARANTIDOR,,agent garant
AGENTE IMPUTÁVEL,['DPE DIREITO PENAL'],,MAIOR DE DEZOITO ANOS,AGENTE,"['AGENTE INIMPUTÁVEL', 'IMPUTABILIDADE']",,,agent imput
AGENTE INIMPUTÁVEL,['DPE DIREITO PENAL'],,DOENTE MENTAL,AGENTE,"['AGENTE IMPUTÁVEL', 'IMPUTABILIDADE']",,,agent inimput
AGENTE PENITENCIÁRIO,['DAD DIREITO ADMINISTRATIVO'],,,AGENTE,['PENITENCIÁRIA'],,,agent penitenci
AGENTE POLÍTICO,"['DAD DIREITO ADMINISTRATIVO', 'DEL DIREITO ELEITORAL']",,DEPUTADO,AGENTE,['CARGO POLÍTICO'],POLÍTICO,,agent polit
AGENTE PÚBLICO,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Quem quer que desempenhe funções estatais, enquanto
as exercita, é um agente público. Por isto, a noção abarca
tanto o Chefe do Poder Executivo (em quaisquer das esferas)
como os senadores, deputados e vereadores, os ocupantes
de cargos ou empregos públicos da Administração
dirteta dos três Poderes, os servidores das autarquias, 
das fundações governamentais, das empresas públicas
e sociedades de economia mista nas distintas órbitas de 
governo, os concessionários e permissionários de serviço
público, os delegados de função ou ofício público, os
requisitados, os contratados sob locação civil de serviços
e gestores de negócios públicos.
(MELLO, Celso Antônio Bandeira de. Curso de Direito Administrativo.
22 ed. São Paulo: Malheiros, 2007. p. 236).
",AGENTE ADMINISTRATIVO,AGENTE,"['ADMINISTRAÇÃO PÚBLICA', 'EXERCÍCIO DE CARGO PÚBLICO', 'FUNÇÃO PÚBLICA', 'TEORIA DA CULPA DO SERVIÇO PÚBLICO', 'TEORIA DO ÓRGÃO']",,,agent public
CASAMENTO DA VÍTIMA COM O AGENTE,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,CAUSA DE EXTINÇÃO DA PUNIBILIDADE,['EXTINÇÃO DA PUNIBILIDADE'],,,cas da vitim com o agent
EFETIVA EXPOSIÇÃO AO AGENTE NOCIVO,['DPR DIREITO PREVIDENCIÁRIO'],"

NOTA
Usar para descrever a exposição aos agentes que justificam a concessão de aposentadoria especial, conforme artigos 64 e seguintes do Decreto 3048/1999.
",,,['APOSENTADORIA ESPECIAL'],EFETIVA EXPOSIÇÃO AOS AGENTES NOCIVOS,,efet expos ao agent nociv
EFETIVA EXPOSIÇÃO AOS AGENTES NOCIVOS,['DPR DIREITO PREVIDENCIÁRIO'],,,,,,EFETIVA EXPOSIÇÃO AO AGENTE NOCIVO,efet expos ao agent nociv
MORTE DO AGENTE,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,CAUSA DE EXTINÇÃO DA PUNIBILIDADE,['EXTINÇÃO DA PUNIBILIDADE'],,,mort do agent
PERSONALIDADE DO AGENTE,['DPE DIREITO PENAL'],,PERSONALIDADE VIOLENTA,CIRCUNSTÂNCIA JUDICIAL,"['ANTECEDENTE CRIMINAL', 'CONDUTA SOCIAL', 'EXAME DE SANIDADE MENTAL', 'PENA-BASE']",,,personal do agent
PRINCÍPIO DA RESPONSABILIDADE DOS AGENTES PÚBLICOS,"['DAD DIREITO ADMINISTRATIVO', 'DCT DIREITO CONSTITUCIONAL']",,,,"['IMPROBIDADE ADMINISTRATIVA', 'MORALIDADE ADMINISTRATIVA', 'PRINCÍPIO REPUBLICANO']",,,principi da respons do agent public
AGIOTAGEM,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,,,"['LEI DE USURA', 'USURA']",,,agiot
AGRAVAMENTO DA PENA,['DPE DIREITO PENAL'],,,AGRAVAMENTO,"['CIRCUNSTÂNCIA AGRAVANTE', 'PENA', 'REFORMATIO IN PEJUS', 'RÉU']",AGRAVAÇÃO DE PENA,,agrav da pen
